Apical_x, Apical_y, Basal_x, Basal_y
0,0,0,3
1.11111,0,1.11111,3
2.22222,0,2.22222,3
3.33333,0,3.33333,3
4.44444,0,4.44444,3
5.55556,0,5.55556,3
6.66667,0,6.66667,3
7.77778,0,7.77778,3
8.88889,0,8.88889,3
0,0,0,3
0,1,0,0
1.11111,1,1.11111,0
2.22222,1,2.22222,0
3.33333,1,3.33333,0
4.44444,1,4.44444,0
5.55556,1,5.55556,0
6.66667,1,6.66667,0
7.77778,1,7.77778,0
8.88889,1,8.88889,0
0,1,0,0
0,2,0,1
1.11111,2,1.11111,1
2.22222,2,2.22222,1
3.33333,2,3.33333,1
4.44444,2,4.44444,1
5.55556,2,5.55556,1
6.66667,2,6.66667,1
7.77778,2,7.77778,1
8.88889,2,8.88889,1
0,2,0,1
0,3,0,2
1.11111,3,1.11111,2
2.22222,3,2.22222,2
3.33333,3,3.33333,2
4.44444,3,4.44444,2
5.55556,3,5.55556,2
6.66667,3,6.66667,2
7.77778,3,7.77778,2
8.88889,3,8.88889,2
0,3,0,2
